Cas9_type,Score
SpRY,49.0
SpRY,48.0
SpRY,48.0
SpRY,48.0
SpRY,47.0
SpRY,47.0
SpRY,47.0
SpRY,47.0
SpRY,46.0
SpRY,46.0
SpRY,46.0
SpRY,46.0
SpRY,46.0
SpRY,45.0
SpRY,45.0
SpRY,44.0
SpRY,44.0
SpRY,44.0
SpRY,44.0
SpRY,43.0
SpRY,43.0
SpRY,43.0
SpRY,42.0
SpRY,42.0
SpRY,42.0
SpRY,42.0
SpRY,42.0
SpRY,42.0
SpRY,41.0
SpRY,41.0
SpRY,41.0
SpRY,40.0
SpRY,40.0
SpRY,40.0
SpRY,39.0
SpRY,39.0
SpRY,38.0
SpRY,38.0
SpRY,37.0
SpRY,37.0
SpRY,37.0
SpRY,36.0
SpRY,36.0
SpRY,36.0
SpRY,35.0
SpRY,35.0
SpRY,34.0
SpRY,34.0
SpRY,34.0
SpRY,34.0
SpRY,33.0
SpRY,33.0
SpRY,33.0
SpRY,33.0
SpRY,33.0
SpRY,32.0
SpRY,32.0
SpRY,32.0
SpRY,31.0
SpRY,31.0
SpRY,31.0
SpRY,31.0
SpRY,31.0
SpRY,31.0
SpRY,30.0
SpRY,30.0
SpRY,30.0
SpRY,30.0
SpRY,30.0
SpRY,29.0
SpRY,29.0
SpRY,29.0
SpRY,28.0
SpRY,28.0
SpRY,28.0
SpRY,28.0
SpRY,28.0
SpRY,28.0
SpRY,28.0
SpRY,28.0
SpRY,28.0
SpRY,27.0
SpRY,27.0
SpRY,27.0
SpRY,27.0
SpRY,26.0
SpRY,26.0
SpRY,26.0
SpRY,25.0
SpRY,25.0
SpRY,25.0
SpRY,25.0
SpRY,24.0
SpRY,24.0
SpRY,24.0
SpRY,24.0
SpRY,23.0
SpRY,23.0
SpRY,23.0
SpRY,23.0
SpRY,23.0
SpRY,23.0
SpRY,22.0
SpRY,22.0
SpRY,22.0
SpRY,22.0
SpRY,22.0
SpRY,22.0
SpRY,22.0
SpRY,22.0
SpRY,21.0
SpRY,21.0
SpRY,21.0
SpRY,21.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,20.0
SpRY,19.0
SpRY,19.0
SpRY,19.0
SpRY,19.0
SpRY,19.0
SpRY,19.0
SpRY,18.0
SpRY,18.0
SpRY,18.0
SpRY,18.0
SpRY,18.0
SpRY,18.0
SpRY,18.0
SpRY,18.0
SpRY,18.0
SpRY,17.0
SpRY,17.0
SpRY,17.0
SpRY,17.0
SpRY,17.0
SpRY,17.0
SpRY,17.0
SpRY,16.0
SpRY,16.0
SpRY,16.0
SpRY,16.0
SpRY,16.0
SpRY,16.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,15.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,14.0
SpRY,13.0
SpRY,13.0
SpRY,13.0
SpRY,13.0
SpRY,13.0
SpRY,13.0
SpRY,13.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,12.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,11.0
SpRY,10.0
SpRY,10.0
SpRY,10.0
SpRY,10.0
SpRY,10.0
SpRY,10.0
SpRY,10.0
SpRY,10.0
SpRY,10.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,9.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,8.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,7.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,6.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,5.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,4.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,3.0
SpRY,2.0
SpRY,2.0
SpRY,2.0
SpRY,2.0
SpRY,2.0
SpRY,2.0
SpRY,2.0
SpRY,2.0
SpRY,2.0
SpRY HF1,73839.0
SpRY HF1,45177.0
SpRY HF1,2754.0
SpRY HF1,1451.0
SpRY HF1,1349.0
SpRY HF1,681.0
SpRY HF1,262.0
SpRY HF1,260.0
SpRY HF1,254.0
SpRY HF1,245.0
SpRY HF1,204.0
SpRY HF1,141.0
SpRY HF1,52.0
SpRY HF1,37.0
SpRY HF1,6.0
eNme2-C,39.0
Nme2Cas9,1230.0
Nme2Cas9,448.0
Nme2Cas9,234.0
Nme2Cas9,4.0
Nme2Cas9,4.0
Nme2Cas9,2.0
Nme2Cas9,2.0
Nme2Cas9,2.0
eNme2-C,23.0
eNme2-C,10.0
eNme2-C,10.0
eNme2-C,6.0
eNme2-C,5.0
eNme2-C,5.0
eNme2-C.NR,3349.0
eNme2-C.NR,26.0
eNme2-C.NR,24.0
eNme2-C.NR,24.0
eNme2-C.NR,13.0
eNme2-C.NR,2.0
SpRY,9270.0
SpRY,3317.0
SpRY,3217.0
SpRY,497.0
SpRY,415.0
SpRY,305.0
SpRY,279.0
SpRY,268.0
SpRY,255.0
SpRY,209.0
SpRY,189.0
SpRY,186.0
SpRY,171.0
SpRY,147.0
SpRY,133.0
SpRY,115.0
SpRY,101.0
SpRY,78.0
SpRY,68.0
SpRY,46.0
SpRY,31.0
SpRY,30.0
SpRY,30.0
SpRY,30.0
SpRY,28.0
SpRY,27.0
SpRY,25.0
SpRY,2.0
SpRY HF1,254.0
SpRY HF1,786.0
SpRY HF1,167.0
SpRY HF1,3.0
eNme2-C,2675.0
Nme2Cas9,611.0
Nme2Cas9,10.0
Nme2Cas9,8.0
Nme2Cas9,8.0
Nme2Cas9,7.0
Nme2Cas9,6.0
Nme2Cas9,5.0
Nme2Cas9,3.0
Nme2Cas9,2.0
Nme2Cas9,2.0
eNme2-C,503.0
eNme2-C,204.0
eNme2-C,160.0
eNme2-C,97.0
eNme2-C,56.0
eNme2-C,46.0
eNme2-C,20.0
eNme2-C,16.0
eNme2-C,15.0
eNme2-C,9.0
eNme2-C,8.0
eNme2-C,7.0
eNme2-C,6.0
eNme2-C,6.0
eNme2-C,6.0
eNme2-C,5.0
eNme2-C,5.0
eNme2-C,5.0
eNme2-C,4.0
eNme2-C,4.0
eNme2-C,2.0
eNme2-C,2.0
eNme2-C.NR,15715.0
eNme2-C.NR,277.0
eNme2-C.NR,228.0
eNme2-C.NR,29.0
eNme2-C.NR,23.0
eNme2-C.NR,13.0
eNme2-C.NR,5.0
eNme2-C.NR,4.0
eNme2-C.NR,4.0
eNme2-C.NR,4.0
eNme2-C.NR,3.0
eNme2-C.NR,3.0
eNme2-C.NR,2.0
eNme2-C.NR,2.0
eNme2-C.NR,2.0
SpRY,15799.0
SpRY,1833.0
SpRY,1095.0
SpRY,690.0
SpRY,682.0
SpRY,616.0
SpRY,533.0
SpRY,415.0
SpRY,395.0
SpRY,373.0
SpRY,185.0
SpRY,166.0
SpRY,142.0
SpRY,121.0
SpRY,109.0
SpRY,105.0
SpRY,84.0
SpRY,84.0
SpRY,75.0
SpRY,55.0
SpRY,53.0
SpRY,49.0
SpRY,47.0
SpRY,44.0
SpRY,41.0
SpRY,37.0
SpRY,33.0
SpRY,22.0
SpRY,21.0
SpRY,19.0
SpRY,17.0
SpRY,15.0
SpRY,14.0
SpRY,12.0
SpRY,7.0
SpRY,2.0
